year,premises_type,fire_count,source_url,access_date,notes
2013,Non-Building Structures,651,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2014,Non-Building Structures,1271,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2015,Non-Building Structures,1201,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2016,Non-Building Structures,790,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2017,Non-Building Structures,747,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2018,Non-Building Structures,959,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2019,Non-Building Structures,1198,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2020,Non-Building Structures,437,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2021,Non-Building Structures,419,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2022,Non-Building Structures,430,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2023,Non-Building Structures,580,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2024,Non-Building Structures,607,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2025,Non-Building Structures,528,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2012,All Buildings (Residential + Non-Residential subtotal),3766,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2013,All Buildings (Residential + Non-Residential subtotal),3485,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2014,All Buildings (Residential + Non-Residential subtotal),3453,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2015,All Buildings (Residential + Non-Residential subtotal),3403,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2016,All Buildings (Residential + Non-Residential subtotal),3324,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2017,All Buildings (Residential + Non-Residential subtotal),3124,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2018,All Buildings (Residential + Non-Residential subtotal),2926,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2019,All Buildings (Residential + Non-Residential subtotal),1664,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2020,All Buildings (Residential + Non-Residential subtotal),1440,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2021,All Buildings (Residential + Non-Residential subtotal),1425,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2022,All Buildings (Residential + Non-Residential subtotal),1369,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2023,All Buildings (Residential + Non-Residential subtotal),1374,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2024,All Buildings (Residential + Non-Residential subtotal),1383,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2025,All Buildings (Residential + Non-Residential subtotal),1522,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2012,Total (All Premises),4485,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2013,Total (All Premises),4136,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2014,Total (All Premises),4724,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2015,Total (All Premises),4604,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2016,Total (All Premises),4114,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2017,Total (All Premises),3871,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2018,Total (All Premises),3885,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. CATEGORY BREAK: from 2019 onward, data EXCLUDE minor fires involving rubbish bins/rubbish chutes (per dataset's own methodology note); pre-2019 and 2019-onward figures are NOT directly comparable -- do not chain across 2018/2019 without treating as two segments."
2019,Total (All Premises),2862,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2020,Total (All Premises),1877,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
2021,Total (All Premises),1844,https://data.gov.sg/datasets/d_808473a208220960f07a0b064ef16bde/view,2026-07-11,"SingStat/SCDF dataset 'Fire Occurrences, Annual' (data.gov.sg d_808473a208220960f07a0b064ef16bde), sourced from Singapore Civil Defence Force. Post-break segment (2019 onward): minor rubbish bin/chute fires EXCLUDED from these counts per dataset methodology note."
