year,scdf_total_deaths,scdf_total_injuries,register_deaths,register_incidents,gap_scdf_minus_register,scdf_source_url,notes
2015,7,111,7,5,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/fire-incident-statistics-jan-dec-2015.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,"Fully reconciled; initial SCDF release reported 4, revised to 7 in the 2016 release after coroner inquiries"
2016,2,62,2,2,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/fire-stats-201608e02643-ddda-4d72-b6bb-1e1c5eb00057.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,"Fully reconciled; initial release reported 1, revised to 2 in the 2017 release after coroner inquiry"
2017,3,60,3,3,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/fire-ambulance-enforcement-statistics-2017.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Fully reconciled; SCDF release itemizes all three incidents
2018,4,90,4,4,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/scdf-annual-statistics-2018.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Fully reconciled; SCDF 2018 release itemizes all four residential incidents
2019,1,142,3,3,-2,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/scdf-annual-statistics-2019.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Register EXCEEDS official total by 2: SCDF counts only the Bukit Batok PMD fatality; the Jalan Buroh LPG-facility worker death and the Jurong West flat death are excluded from the official series (classification/definition)
2020,1,184,1,1,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/scdf_annual_statistics_2020.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Fully reconciled; single incident named in SCDF 2020 release
2021,4,193,7,5,-3,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/scdf-annual-statistics-2021.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,"Register EXCEEDS official total by 3: SCDF total 4 (initially 3, revised per 2022 release footnote 4) covers residential incidents only; the 3-death Tuas dust-explosion factory fire is excluded from the official series"
2022,8,171,8,5,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/scdf-annual-statistics-2022.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Numerically reconciled (8 = 8) but composition uncertain: initial release reported 6 with only Bedok North (3 deaths) itemized; final series shows 8; whether the Dec 2022 Tuas gas-cylinder workplace death is inside the official 8 is unverified
2023,3,81,3,3,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/scdf-annual-statistics-2023.pdf ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Numerically reconciled; NOTE the SCDF 2023 release text carries no fatality figure at all - the 2023 total rests on the data.gov.sg series
2024,7,80,7,6,0,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/fire-ems-and-enforcement-statistics-2024.pdf ; https://sg.news.yahoo.com/more-fatal-fires-ev-blazes-020000349.html ; https://data.gov.sg/datasets/d_2c81b575edc555f6c8f0cb7e09c8df02/view,Fully reconciled at the REVISED total of 7 (initial Feb 2025 release: 5; Kaki Bukit industrial pair added after investigation). data.gov.sg still showed the stale 5 as of its 2 Mar 2026 update
2025,6,94,8,4,-2,https://www.scdf.gov.sg/docs/default-source/media-room-(publications)/annual-statistics/scdf-annual-statistics-on-ems-fire-enforcement-2025.pdf ; https://www.mha.gov.sg/media-room/newsroom/response-to-adjournment-motion-on-fire-safety-in-our-homes/,"Register EXCEEDS official total by 2: MHA names Hougang (3) + River Valley (1) + Bukit Merah (2) = 6; the press-confirmed Toa Payoh pair (2 deaths, Jul 2025) is absent from the official tally for unstated reasons"
